Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.05     20.18     0.01                             std::_Deque_iterator<int, int&, int*>::operator*() const
  0.05     20.19     0.01                             std::vector<supervoxel*, std::allocator<supervoxel*> >::size() const
  0.05     20.20     0.01                             std::vector<std::_List_iterator<supervoxel>, std::allocator<std::_List_iterator<supervoxel> > >::max_size() const
  0.05     20.21     0.01                             std::vector<unsigned long long, std::allocator<unsigned long long> >::empty() const
  0.05     20.22     0.01                             std::_Vector_base<char, std::allocator<char> >::_Vector_impl::_Vector_impl()
  0.05     20.23     0.01                             std::_List_iterator<supervoxel>::_List_iterator(std::_List_node_base*)
  0.05     20.24     0.01                             std::_List_const_iterator<supervoxel>::operator++()
  0.05     20.25     0.01                             void std::__uninitialized_fill_n<false>::uninitialized_fill_n<std::_List_iterator<nucleus>*, unsigned long, std::_List_iterator<nucleus> >(std::_List_iterator<nucleus>*, unsigned long, std::_List_iterator<nucleus> const&)
  0.05     20.26     0.01                             std::queue<int, std::deque<int, std::allocator<int> > >::push(int const&)
  0.05     20.27     0.01                             std::queue<int, std::deque<int, std::allocator<int> > >::queue(std::deque<int, std::allocator<int> > const&)
  0.05     20.28     0.01                             std::queue<unsigned long, std::deque<unsigned long, std::allocator<unsigned long> > >::push(unsigned long&&)
  0.05     20.29     0.01                             std::vector<supervoxel, std::allocator<supervoxel> >::operator[](unsigned long)
  0.05     20.30     0.01                             std::vector<treeStump, std::allocator<treeStump> >::vector(unsigned long, treeStump const&, std::allocator<treeStump> const&)
  0.05     20.31     0.01                             std::vector<treeStump, std::allocator<treeStump> >::operator[](unsigned long)
  0.05     20.32     0.01                             std::vector<GaussianMixtureModel*, std::allocator<GaussianMixtureModel*> >::_M_fill_insert(__gnu_cxx::__normal_iterator<GaussianMixtureModel**, std::vector<GaussianMixtureModel*, std::allocator<GaussianMixtureModel*> > >, unsigned long, GaussianMixtureModel* const&)
  0.05     20.33     0.01                             std::vector<std::vector<std::_List_iterator<supervoxel>, std::allocator<std::_List_iterator<supervoxel> > >, std::allocator<std::vector<std::_List_iterator<supervoxel>, std::allocator<std::_List_iterator<supervoxel> > > > >::operator[](unsigned long)
  0.05     20.34     0.01                             void std::vector<float, std::allocator<float> >::_M_insert_aux<float const&>(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float const&&&)
  0.05     20.35     0.01                             std::vector<unsigned long long, std::allocator<unsigned long long> >::clear()
  0.05     20.36     0.01                             void std::__pop_heap<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >)
  0.05     20.37     0.01                             __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > std::copy_backward<__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > >(__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >)
  0.05     20.38     0.01                             std::__deque_buf_size(unsigned long)
  0.05     20.39     0.01                             std::move_iterator<double*> std::make_move_iterator<double*>(double* const&)
