Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  [11] unsigned short supervoxel::trimSupervoxel<unsigned short>(int, float, int, long long*) [75] void std::__iter_swap<true>::iter_swap<__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > >(__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >) [210] allocate_timage_map (tiff.image.c)
 [110] supervoxel::mergeSupervoxels(std::vector<supervoxel*, std::allocator<supervoxel*> >&) [137] std::_Vector_base<char, std::allocator<char> >::_Vector_impl::_Vector_impl() [90] array_dsize (array.c)
  [41] supervoxel::neighboringVoxels(supervoxel const&, int, long long*, std::vector<unsigned long long, std::allocator<unsigned long long> >&, std::vector<unsigned long long, std::allocator<unsigned long long> >&) [171] std::__niter_base<__gnu_cxx::__normal_iterator<hierarchicalSegmentation**, std::vector<hierarchicalSegmentation*, std::allocator<hierarchicalSegmentation*> > >, true>::__b(__gnu_cxx::__normal_iterator<hierarchicalSegmentation**, std::vector<hierarchicalSegmentation*, std::allocator<hierarchicalSegmentation*> > >) [181] array_size (array.c)
  [72] float supervoxel::intensityThreshold<float>(int, float, unsigned int*, bool) [138] std::_List_iterator<supervoxel>::_List_iterator(std::_List_node_base*) [94] convert_array (array.c)
  [97] unsigned short supervoxel::intensityThreshold<unsigned short>(int, float, unsigned int*, bool) [172] std::_List_iterator<lineage>::operator--() [23] coord4idx (array.c)
  [64] supervoxel::JaccardIndexWithOffset(supervoxel const&) [67] std::_Deque_iterator<int, int&, int*>::_Deque_iterator(std::_Deque_iterator<int, int&, int*> const&) [201] determine_kind (image.c)
  [36] int supervoxel::weightedGaussianStatistics<unsigned short>(bool) [139] std::_List_const_iterator<supervoxel>::operator++() [211] determine_type (image.c)
  [65] supervoxel::numHoles() [140] void std::__uninitialized_fill_n<false>::uninitialized_fill_n<std::_List_iterator<nucleus>*, unsigned long, std::_List_iterator<nucleus> >(std::_List_iterator<nucleus>*, unsigned long, std::_List_iterator<nucleus> const&) [196] extract_image_tags
   [9] void lineageHyperTree::calculateGMMparametersFromNuclei<float>(std::_List_iterator<nucleus>&, float*, float*, float*) [83] std::deque<int, std::allocator<int> >::begin() [197] extract_shape
  [18] int lineageHyperTree::calculateNucleiIntensityCentroid<float>(std::_List_iterator<nucleus>&) [68] std::deque<int, std::allocator<int> >::pop_front() [105] free_array (array.c)
 [111] Eigen::DenseStorage<double, 9, 3, 3, 0>::data() [57] std::deque<int, std::allocator<int> >::push_back(int const&) [188] free_tifd (tiff.io.c)
 [162] Eigen::DenseCoeffsBase<Eigen::ReturnByValue<Eigen::internal::inverse_impl<Eigen::Matrix<double, 3, 3, 0, 3, 3> > >, 1>::DenseCoeffsBase() [76] std::deque<unsigned long, std::allocator<unsigned long> >::push_back(unsigned long&&) [212] free_tiff_channel (tiff.image.c)
 [163] Eigen::DenseCoeffsBase<Eigen::Matrix<double, 3, 1, 0, 3, 1>, 1>::operator()(long) [141] std::queue<int, std::deque<int, std::allocator<int> > >::push(int const&) [213] free_timage (tiff.image.c)
 [164] Eigen::DenseCoeffsBase<Eigen::Matrix<double, 3, 1, 0, 3, 1>, 1>::operator[](long) [84] std::queue<int, std::deque<int, std::allocator<int> > >::front() [191] free_treader (tiff.io.c)
 [112] void Eigen::DenseCoeffsBase<Eigen::Matrix<double, 6, 6, 0, 6, 6>, 1>::copyCoeffByOuterInner<Eigen::CwiseNullaryOp<Eigen::internal::scalar_identity_op<double>, Eigen::Matrix<double, 6, 6, 0, 6, 6> > >(long, long, Eigen::DenseBase<Eigen::CwiseNullaryOp<Eigen::internal::scalar_identity_op<double>, Eigen::Matrix<double, 6, 6, 0, 6, 6> > > const&) [142] std::queue<int, std::deque<int, std::allocator<int> > >::queue(std::deque<int, std::allocator<int> > const&) [183] get_integer_tag (tiff.image.c)
 [113] Eigen::MapBase<Eigen::Block<Eigen::Matrix<double, 3, 3, 0, 3, 3>, 3, 1, true, true>, 1>::coeffRef(long) [143] std::queue<unsigned long, std::deque<unsigned long, std::allocator<unsigned long> > >::push(unsigned long&&) [228] image_depth (image.c)
 [165] Eigen::internal::special_scalar_op_base<Eigen::ReturnByValue<Eigen::internal::inverse_impl<Eigen::Matrix<double, 3, 3, 0, 3, 3> > >, double, double, false>::special_scalar_op_base() [144] std::vector<supervoxel, std::allocator<supervoxel> >::operator[](unsigned long) [202] image_reader (image.c)
 [114] Eigen::EigenBase<Eigen::Matrix<double, 3, 3, 0, 3, 3> >::derived() [145] std::vector<treeStump, std::allocator<treeStump> >::vector(unsigned long, treeStump const&, std::allocator<treeStump> const&) [10] main
 [166] __gnu_cxx::new_allocator<std::_List_iterator<supervoxel> >::allocate(unsigned long, void const*) [146] std::vector<treeStump, std::allocator<treeStump> >::operator[](unsigned long) [61] make_shape (array.c)
 [115] __gnu_cxx::new_allocator<int>::construct(int*, int const&) [147] std::vector<GaussianMixtureModel*, std::allocator<GaussianMixtureModel*> >::_M_fill_insert(__gnu_cxx::__normal_iterator<GaussianMixtureModel**, std::vector<GaussianMixtureModel*, std::allocator<GaussianMixtureModel*> > >, unsigned long, GaussianMixtureModel* const&) [71] make_start (array.c)
  [42] __gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >::__normal_iterator(unsigned long long const* const&) [148] std::vector<std::vector<std::_List_iterator<supervoxel>, std::allocator<std::_List_iterator<supervoxel> > >, std::allocator<std::vector<std::_List_iterator<supervoxel>, std::allocator<std::_List_iterator<supervoxel> > > > >::operator[](unsigned long) [91] new_array (array.c)
  [44] __gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >::operator++(int) [149] void std::vector<float, std::allocator<float> >::_M_insert_aux<float const&>(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float const&&&) [198] new_tifd (tiff.io.c)
 [116] __gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >::operator++() [173] void std::vector<float, std::allocator<float> >::_M_insert_aux<float>(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float&&) [214] new_tiff_channel (tiff.image.c)
 [117] __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::__normal_iterator(float* const&) [85] std::vector<float, std::allocator<float> >::operator[](unsigned long) [215] new_timage (tiff.image.c)
  [30] __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::operator--() [37] std::vector<unsigned long long, std::allocator<unsigned long long> >::end() [225] new_treader (tiff.io.c)
  [33] __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::operator++() [46] std::vector<unsigned long long, std::allocator<unsigned long long> >::begin() [184] optseek (tiff.io.c)
   [6] __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >::__normal_iterator(unsigned long long* const&) [150] std::vector<unsigned long long, std::allocator<unsigned long long> >::clear() [199] optseek (tiff.image.c)
 [118] __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >::__normal_iterator() [77] std::vector<unsigned long long, std::allocator<unsigned long long> >::resize(unsigned long, unsigned long long) [176] read_array (image.c)
  [21] __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >::operator--() [47] std::vector<unsigned long long, std::allocator<unsigned long long> >::operator[](unsigned long) [177] read_tiff (image.c)
   [4] __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >::operator+=(long const&) [51] std::iterator_traits<__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > >::difference_type std::__distance<__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > >(__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, std::random_access_iterator_tag) [218] tic
   [7] __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >::operator++() [102] __gnu_cxx::__enable_if<std::__is_scalar<float>::__value, float*>::__type std::__fill_n_a<float*, unsigned long, float>(float*, unsigned long, float const&) [219] toc
  [98] bool __gnu_cxx::operator==<float*, std::vector<float, std::allocator<float> > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&) [69] __gnu_cxx::__enable_if<std::__is_scalar<unsigned long long>::__value, unsigned long long*>::__type std::__fill_n_a<unsigned long long*, unsigned long, unsigned long long>(unsigned long long*, unsigned long, unsigned long long const&) [95] translate (array.c)
  [99] bool __gnu_cxx::operator==<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >(__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > const&, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > const&) [151] void std::__pop_heap<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >)
